"","Sample_ID","Plate_Number","Cq","qPCR_Coordinate","Row","Col","UDI_ID","Set","cycles_15","cycles_18","cycles_21","cycles_24","cycles_27","cycles_28","order","Index_cord"
"1","242_765","TP3","13","A12","A",1,"UDI12A_0001","UDI_Set_A1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"A_1"
"2","327_LC042","TP3","14","G2","B",1,"UDI12A_0002","UDI_Set_A1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"B_1"
"3","317_LC110","TP3","14","F7","C",1,"UDI12A_0003","UDI_Set_A1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"C_1"
"4","262_N48","TP3","14","C2","D",1,"UDI12A_0004","UDI_Set_A1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,"D_1"
"5","312_LC064","TP3","15","F2","E",1,"UDI12A_0005","UDI_Set_A1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,"E_1"
"6","307_LC077","TP3","15","E11","F",1,"UDI12A_0006","UDI_Set_A1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,"F_1"
"7","307_MC027","TP3","15","E12","G",1,"UDI12A_0007","UDI_Set_A1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,"G_1"
"8","242_N72","TP3","15","A10","H",1,"UDI12A_0008","UDI_Set_A1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,"H_1"
"9","172_LC005","TP2","16","D1","A",2,"UDI12A_0009","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,"A_2"
"10","302_LC123","TP3","16","E8","B",2,"UDI12A_0010","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,"B_2"
"11","292_LC124","TP3","16","D10","C",2,"UDI12A_0011","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,"C_2"
"12","212_699","TP2","17","G1","D",2,"UDI12A_0012","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,"D_2"
"13","267_713","TP3","17","C7","E",2,"UDI12A_0013","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13,"E_2"
"14","257_741","TP3","17","B11","F",2,"UDI12A_0014","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14,"F_2"
"15","196_1452","TP2","17","E12","G",2,"UDI12A_0015","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15,"G_2"
"16","184_1463","TP2","17","D12","H",2,"UDI12A_0016","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16,"H_2"
"17","216_3446","TP2","17","G6","A",3,"UDI12A_0017","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,17,"A_3"
"18","188_4503","TP2","17","E1","B",3,"UDI12A_0018","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18,"B_3"
"19","337_LC003","TP3","17","G10","C",3,"UDI12A_0019","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,19,"C_3"
"20","172_LC056","TP2","17","D4","D",3,"UDI12A_0020","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,20,"D_3"
"21","152_LC126","TP2","17","B7","E",3,"UDI12A_0021","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21,"E_3"
"22","297_LC127","TP3","17","E4","F",3,"UDI12A_0022","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22,"F_3"
"23","307_MC014","TP3","17","E9","G",3,"UDI12A_0023","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,23,"G_3"
"24","232_N46","TP3","17","A4","H",3,"UDI12A_0024","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,24,"H_3"
"25","216_N50","TP2","17","G7","A",4,"UDI12A_0025","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,"A_4"
"26","277_N53","TP3","17","D1","B",4,"UDI12A_0026","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,26,"B_4"
