,Sample_ID,Plate_Number,Cq,qPCR_Coordinate,Row,Col,UDI_ID,Set,cycles_15,cycles_18,cycles_21,cycles_24,cycles_27,cycles_28,order,Index_cord
1,13_N59,TP1,25,D7,A,1,UDI12A_0193,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,193,A_1
2,43_N73,TP1,25,C1,B,1,UDI12A_0194,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,194,B_1
3,48_663,TP1,26,D2,C,1,UDI12A_0195,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,195,C_1
4,3_689,TP1,26,D12,D,1,UDI12A_0196,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,196,D_1
5,28_695,TP1,26,D5,E,1,UDI12A_0197,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,197,E_1
6,13_713,TP1,26,D6,F,1,UDI12A_0198,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,198,F_1
7,33_719,TP1,26,E9,G,1,UDI12A_0199,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,199,G_1
8,8_741,TP1,26,F10,H,1,UDI12A_0200,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,200,H_1
9,48_753,TP1,26,C7,A,2,UDI12A_0201,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,201,A_2
10,18_1340,TP1,26,E8,B,2,UDI12A_0202,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,202,B_2
11,33_1452,TP1,26,C2,C,2,UDI12A_0203,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,203,C_2
12,48_1463,TP1,26,B10,D,2,UDI12A_0204,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,204,D_2
13,23_1470,TP1,26,A4,E,2,UDI12A_0205,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,205,E_2
14,43_3421,TP1,26,B6,F,2,UDI12A_0206,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,206,F_2
15,220_3421,TP2,26,G12,G,2,UDI12A_0207,UDI_Set_A3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,207,G_2
