"","Sample_ID","SP2_SP3","SP1_SP2_SP3","X","AssessID","Species","P1_label","Location","Region","depth_ft_colony_base","firstvisit_date","length","width","height","Surface_Area","total_periods_visited","total_periods_diseased","treat_type","total_treatments","Resistance_April2021","Resistance2_April2021","X.visits_diseased_total","X.visits_diseased_May21.Mar22","X.LiveTissueDifference_total","X.LiveTissueDifference_Apr21.Mar22","Zoox_dominant","Zoox_background","date","time","process_time","disease","coresite_angle","core_location","core_heading","core_depth","ID","Falcon_Tube","Sample_Period","Sample_name","RNA_Original_concentration","RNA_Dilution_concentration","Cq","Plate_Number","percent_uniq","million_uniq","SP1","SP2","SP3","uniqsample"
"1","136_MC011",1,NA,219,"MC-011","Ofav1","2311","ECA","3South",21,"7/22/19",250,220,170,56755,41,1,"Amox",3,"High","SCTLD_affected","2.4%","9.1%",0,0,"B",NA,"8/21/21","12:00","4","A","Angle ","US","W",17,"MC011",136,"2","2_MC011",7,"4",18,"TP2",48.24,6351658,NA,TRUE,NA,1
"2","140_LC077",1,NA,52,"LC-077","Ofav1","1777","ECA","3South",20,"6/7/18",215,210,160,47892,55,18,"Both",50,"Low","SCTLD_affected","32.7%","18.2%",-25,0,"B",NA,"8/21/21","11:16","3","A","Angle ","MS","NE",17,"LC077",140,"2","2_LC077",7,"4",19,"TP2",51.77,7365074,NA,TRUE,NA,1
"3","144_LC088",1,NA,144,"LC-088","Ofav1","1688","ECA","3South",20,"7/22/19",230,200,100,34601,42,1,"Amox",1,"Some","SCTLD_affected","2.4%","0.0%",-5,0,"B","D","8/21/21","11:05","3","A","Angle ","B","NE",17,"LC088",144,"2","2_LC088",10,"4",19,"TP2",52.11,5188075,NA,TRUE,NA,1
"4","144_MC014",1,NA,220,"MC-014","Ofav1","2314","ECA","3South",21,"7/25/19",215,220,100,35178,41,0,NA,0,"High","SCTLD_unaffected","0.0%","0.0%",0,0,"B","C","8/21/21","11:55","3","A","Angle ","US","NE",18,"MC014",144,"2","2_MC014",7,"4",19,"TP2",48.82,5982168,NA,TRUE,NA,1
"5","148_LC129",1,NA,217,"LC-139","Ofav1","2129","ECA","2Middle",30,"4/4/18",362,329,100,68885,41,0,"N/A",0,"High","SCTLD_unaffected","0.0%","0.0%",0,0,"B","D","8/20/21","10:08","3","A","Angle ","T","W",29,"LC129",148,"2","2_LC129",8,"4",19,"TP2",47.42,6340509,NA,TRUE,NA,1
"6","152_LC125",1,NA,147,"LC-125","Ofav1","1825","ECA","2Middle",25,"4/11/18",440,421,130,109146,54,3,"Amox",5,"Some","SCTLD_affected","5.6%","0.0%",-5,0,"B",NA,"8/20/21","10:54","3","A","Flat","LS","N",25,"LC125",152,"2","2_LC125",7,"4",18,"TP2",42.71,6078282,NA,TRUE,NA,1
"7","152_LC126",1,NA,148,"LC-126","Ofav1","2126","ECA","2Middle",29,"4/2/18",410,405,150,108215,54,1,"Amox",1,"Some","SCTLD_affected","1.9%","0.0%",-5,0,"D",NA,"8/20/21","10:37","2","A","Flat","T","NE",34,"LC126",152,"2","2_LC126",6,"4",17,"TP2",47.03,5566013,NA,TRUE,NA,1
"8","152_LC127",1,NA,216,"LC-127","Ofav1","2127","ECA","2Middle",29,"4/2/18",450,360,180,119124,53,0,NA,0,"High","SCTLD_unaffected","0.0%","0.0%",0,0,"B",NA,"8/20/21","10:26","2","A","Angle ","US","W",27,"LC127",152,"2","2_LC127",14,"4",18,"TP2",51.13,5670618,NA,TRUE,NA,1
"9","156_LC007",1,NA,136,"LC-007","Ofav1","2907","ECA","2Middle",25,"9/11/18",320,305,150,74656,52,3,"Amox",5,"Some","SCTLD_affected","5.8%","9.1%",0,0,"B","C","8/20/21","15:10","3","A","Angle ","LS","SE",23,"LC007",156,"2","2_LC007",6,"4",18,"TP2",47.69,4598649,NA,TRUE,NA,1
"10","156_LC018",1,NA,137,"LC-018","Ofav1","2818","ECA","2Middle",21,"6/8/18",400,330,190,107403,56,2,"Epox",9,"Some","SCTLD_affected","3.6%","0.0%",0,0,"B",NA,"8/20/21","11:53","2","A","Angle ","LS/B","S",21,"LC018",156,"2","2_LC018",4,"4",18,"TP2",50.87,4848224,NA,TRUE,NA,1
