Sample_ID,RNA_Original_concentration,RNA_Dilution_concentration,Cq,Plate_Number
23_1332,12,8,24,TP1
23_N50,15,8,25,TP1
28_N67,26,8,28,TP1
23_1470,18,8,26,TP1
88_LC043,21,8,28,TP1
128_LC127,19,8,26,TP1
83_LC115,13,8,26,TP1
83_LC053,16,8,26,TP1
118_LC110,22,8,26,TP1
88_LC005,19,8,25,TP1
113_LC077,15,8,20,TP1
118_LC018,24,8,25,TP1
53_N49,9,8,25,TP1
98_MC011,13,8,26,TP1
103_LC064,15,8,27,TP1
83_LC049,14,8,26,TP1
128_LC129,25,8,26,TP1
43_3421,18,8,26,TP1
103_LC114,16,8,26,TP1
3_4503,19,8,26,TP1
93_LC055,17,8,25,TP1
48_1463,24,8,26,TP1
113_MC002,18,8,25,TP1
53_765,23,8,20,TP1
43_N73,18,8,25,TP1
33_1452,19,8,26,TP1
133_MC005,19,8,27,TP1
98_MC014,16,8,26,TP1
18_1280,26,8,25,TP1
38_N70,16,8,27,TP1
48_753,24,8,26,TP1
108_LC062,20,8,26,TP1
108_LC007,22,8,26,TP1
118_LC126,28,8,25,TP1
123_LC024,21,8,19,TP1
38_N46,24,8,20,TP1
108_MC019,17,8,25,TP1
48_663,21,8,26,TP1
93_LC052,18,8,27,TP1
8_N72,28,8,28,TP1
28_695,18,8,26,TP1
13_713,NA,8,26,TP1
13_N59,22,8,25,TP1
43_675,17,8,21,TP1
103_MC027,22,8,26,TP1
108_LC122,14,8,26,TP1
113_LC013,17,8,25,TP1
3_689,10,8,26,TP1
123_LC058,16,8,24,TP1
128_LC101,32,8,26,TP1
118_LC124,30,8,27,TP1
103_MC026,20,8,27,TP1
53_693,18,8,25,TP1
123_LC157,21,8,19,TP1
8_699,14,8,25,TP1
18_1340,10,8,26,TP1
33_719,14,8,26,TP1
113_LC016,15,8,25,TP1
28_3343,31,8,24,TP1
123_LC123,33,8,25,TP1
78_LC003,21,8,25,TP1
13_N48,22,8,26,TP1
38_1004,9,8,27,TP1
128_LC125,12,8,28,TP1
93_LC048,25,8,26,TP1
98_LC079,12,8,27,TP1
3_4616,12,8,26,TP1
78_LC078,19,8,26,TP1
78_LC041,18,8,26,TP1
8_741,24,8,26,TP1
33_1455,23,8,25,TP1
98_LC085,15,8,21,TP1
88_LC045,21,8,25,TP1
83_LC042,14,8,26,TP1
18_N60,14,8,26,TP1
88_MC032,16,8,27,TP1
93_LC088,16,8,25,TP1
78_LC056,15,8,26,TP1
58_617,2.5,1,20,Plate8
63_679,3.6,1,22,Plate8
63_1220,2.7,1,22,Plate8
73_3342,1.5,1,21,Plate8
58_3420,3,1,22,Plate8
73_3446,3.4,1,22,Plate8
68_4360,4.6,1,22,Plate8
58_N52,4.3,1,20,Plate8
73_N53,2.8,1,21,Plate8
68_N54,4.1,1,21,Plate8
63_N56,1.9,1,23,Plate8
68_N58,2.6,1,22,Plate8
