Sample_ID,RNA_Original_concentration,RNA_Dilution_concentration,Cq,Plate_Number
136_LC064,4,4,18,TP2
136_LC079,7,4,19,TP2
136_LC101,11,4,19,TP2
136_MC011,7,4,18,TP2
140_LC062,11,4,18,TP2
140_LC077,7,4,19,TP2
140_LC110,8,4,18,TP2
140_MC027,7,4,19,TP2
144_LC088,10,4,19,TP2
144_LC114,6,4,20,TP2
144_MC014,7,4,19,TP2
144_MC026,8,4,20,TP2
148_LC085,7,4,18,TP2
148_LC129,8,4,19,TP2
148_MC005,11,4,20,TP2
148_MC019,5,4,18,TP2
152_LC124,10,4,19,TP2
152_LC125,7,4,18,TP2
152_LC126,6,4,17,TP2
152_LC127,14,4,18,TP2
156_LC007,6,4,18,TP2
156_LC018,4,4,18,TP2
156_LC024,11,4,18,TP2
156_LC058,7,4,21,TP2
160_LC013,11,4,18,TP2
160_LC123,13,4,19,TP2
160_LC157,12,4,19,TP2
160_MC002,7,4,18,TP2
164_LC016,5,4,19,TP2
164_LC048,8,4,19,TP2
164_LC115,4,4,18,TP2
164_LC122,7,4,19,TP2
168_LC003,8,4,18,TP2
168_LC045,5,4,19,TP2
168_LC055,15,4,19,TP2
168_MC032,7,4,20,TP2
172_LC005,4,4,16,TP2
172_LC049,9,4,18,TP2
172_LC053,4,4,18,TP2
172_LC056,5,4,17,TP2
176_LC041,7,4,18,TP2
176_LC042,7,4,18,TP2
176_LC043,7,4,18,TP2
176_LC052,9,4,18,TP2
184_1455,12,4,19,TP2
184_N46,11,4,19,TP2
184_N72,11,4,18,TP2
184_1463,7,4,17,TP2
188_4503,4,4,17,TP2
188_N60,5,4,18,TP2
188_N70,7,4,18,TP2
188_3343,5,4,18,TP2
192_3342,8,4,18,TP2
192_3420,6,4,19,TP2
192_N49,4,4,18,TP2
192_1280,6,4,18,TP2
196_1004,3,4,19,TP2
196_N67,10,4,18,TP2
196_1470,11,4,20,TP2
196_1452,11,4,17,TP2
200_N59,9,4,17,TP2
200_N73,7,4,19,TP2
200_4360,8,4,18,TP2
200_4616,4,4,18,TP2
204_765,5,4,19,TP2
204_1332,8,4,18,TP2
204_689,4,4,18,TP2
204_1340,12,4,18,TP2
208_713,13,4,18,TP2
208_N52,7,4,19,TP2
208_N54,6,4,18,TP2
208_N56,4,4,21,TP2
212_699,4,4,17,TP2
212_N48,9,4,19,TP2
212_741,7,4,18,TP2
212_753,11,4,18,TP2
216_693,11,4,19,TP2
216_3446,15,4,17,TP2
216_N50,7,4,17,TP2
216_N58,8,4,17,TP2
220_617,8,4,18,TP2
220_675,4,4,19,TP2
220_695,8,4,19,TP2
220_3421,9,4,26,TP2
224_1220,6,4,18,TP2
224_N53,9,4,19,TP2
224_663,5,4,18,TP2
224_719,2,4,18,TP2
180_LC078,6,4,19,TP2
228_679,5,4,18,TP2
