RNA_Ext_Coordinate,Order_RNA,Sample_ID,qPCR_Coordinate,Order_qPCR,RNA_Original_concentration,RNA_Dilution_concentration,Cq,Plate_Number
A1,1,232_1463,A1,1,20,8,20,TP3
A2,2,232_N60,A2,2,20,8,19,TP3
A3,3,232_1004,A3,3,20,8,21,TP3
A4,4,232_N46,A4,4,23,8,17,TP3
A5,5,237_1332,A5,5,16,8,21,TP3
A6,6,237_3343,A6,6,13,8,19,TP3
A7,7,237_N49,A7,7,32,8,19,TP3
A8,8,237_N67,A8,8,26,8,18,TP3
A9,9,242_N70,A9,9,28,8,19,TP3
A10,10,242_N72,A10,10,25,8,15,TP3
A11,11,242_3420,A11,11,20,8,20,TP3
A12,12,242_765,A12,12,25,8,13,TP3
B1,13,247_1455,B1,13,10,8,23,TP3
B2,14,247_1280,B2,14,24,8,Undetermined,TP3
B3,15,247_1452,B3,15,36,8,18,TP3
B4,16,247_719,B4,16,30,8,19,TP3
B5,17,252_3342,B5,17,13,8,21,TP3
B6,18,252_4503,B6,18,28,8,18,TP3
B7,19,252_4360,B7,19,28,8,19,TP3
B8,20,252_4616,B8,20,16,8,19,TP3
B9,21,257_1340,B9,21,10,8,19,TP3
B10,22,257_N73,B10,22,18,8,21,TP3
B11,23,257_741,B11,23,32,8,17,TP3
B12,24,257_3421,B12,24,35,8,18,TP3
C1,25,262_N50,C1,25,25,8,19,TP3
C2,26,262_N48,C2,26,10,8,14,TP3
C3,27,262_1220,C3,27,15,8,21,TP3
C4,28,262_N52,C4,28,19,8,18,TP3
C5,29,267_753,C5,29,17,8,20,TP3
C6,30,267_1470,C6,30,8,8,20,TP3
C7,31,267_713,C7,31,13,8,17,TP3
C8,32,267_N54,C8,32,26,8,17,TP3
C9,33,272_3446,C9,33,20,8,18,TP3
C10,34,272_N58,C10,34,18,8,21,TP3
C11,35,272_N56,C11,35,22,8,17,TP3
C12,36,272_675,C12,36,27,8,18,TP3
D1,37,277_N53,D1,37,17,8,17,TP3
D2,38,277_617,D2,38,18,8,19,TP3
D3,39,277_699,D3,39,31,8,18,TP3
D4,40,277_679,D4,40,18,8,20,TP3
D5,41,282_689,D5,41,15,8,21,TP3
D6,42,282_N59,D6,42,33,8,17,TP3
D7,43,282_695,D7,43,12,8,18,TP3
D8,44,282_663,D8,44,28,8,Undetermined,TP3
D9,45,292_LC129,D9,45,16,8,Undetermined,TP3
D10,46,292_LC124,D10,46,10,8,16,TP3
D11,47,292_LC024,D11,47,12,8,19,TP3
D12,48,292_MC005,D12,48,6,8,Undetermined,TP3
E1,49,297_LC018,E1,49,16,8,19,TP3
E2,50,297_LC125,E2,50,24,8,19,TP3
E3,51,297_LC013,E3,51,24,8,Undetermined,TP3
E4,52,297_LC127,E4,52,17,8,17,TP3
E5,53,302_LC157,E5,53,32,8,19,TP3
E6,54,302_LC007,E6,54,22,8,18,TP3
E7,55,302_LC126,E7,55,12,8,19,TP3
E8,56,302_LC123,E8,56,20,8,16,TP3
E9,57,307_MC014,E9,57,17,8,17,TP3
E10,58,307_LC114,E10,58,13,8,20,TP3
E11,59,307_LC077,E11,59,30,8,15,TP3
E12,60,307_MC027,E12,60,14,8,15,TP3
F1,61,312_LC088,F1,61,15,8,19,TP3
F2,62,312_LC064,F2,62,30,8,15,TP3
F3,63,312_LC062,F3,63,30,8,19,TP3
F4,64,312_MC011,F4,64,15,8,19,TP3
F5,65,317_LC085,F5,65,12,8,20,TP3
F6,66,317_MC026,F6,66,15,8,19,TP3
F7,67,317_LC110,F7,67,21,8,14,TP3
F8,68,317_LC079,F8,68,16,8,19,TP3
F9,69,322_LC016,F9,69,22,8,Undetermined,TP3
F10,70,322_LC122,F10,70,17,8,18,TP3
F11,71,322_MC019,F11,71,17,8,18,TP3
F12,72,322_LC101,F12,72,11,8,20,TP3
G1,73,327_LC115,G1,73,16,8,19,TP3
G2,74,327_LC042,G2,74,23,8,14,TP3
G3,75,327_MC002,G3,75,25,8,19,TP3
G4,76,327_LC058,G4,76,25,8,18,TP3
G5,77,332_LC043,G5,77,22,8,20,TP3
G6,78,332_LC049,G6,78,17,8,18,TP3
G7,79,332_LC078,G7,79,14,8,18,TP3
G8,80,332_LC045,G8,80,20,8,18,TP3
G9,81,337_LC041,G9,81,13,8,Undetermined,TP3
G10,82,337_LC003,G10,82,21,8,17,TP3
G11,83,337_LC056,G11,83,19,8,19,TP3
G12,84,337_MC032,G12,84,28,8,21,TP3
H1,85,342_LC005,H1,85,13,8,19,TP3
H2,86,342_LC053,H2,86,12,8,19,TP3
H3,87,342_LC055,H3,87,26,8,18,TP3
H4,88,342_LC048,H4,88,24,8,Undetermined,TP3
H5,89,287_693,H5,89,23,8,19,TP3
H6,90,347_LC052,H6,90,15,8,19,TP3
