initial_alias,converted_alias,name,description,contrast,contrast_ID
LOC110066181,110066181,LOC110066181,uncharacterized LOC110066181,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110040875,110040875,LOC110040875,protamine-like,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110042938,110042938,LOC110042938,uncharacterized LOC110042938,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110064450,110064450,LOC110064450,RING finger protein 151-like,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110041483,110041483,LOC110041483,zinc finger protein 208-like,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110067385,110067385,LOC110067385,melanocyte-stimulating hormone receptor-like,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110069266,110069266,LOC110069266,EF-hand calcium-binding domain-containing protein 9-like,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110058869,110058869,LOC110058869,uncharacterized LOC110058869,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110058530,110058530,LOC110058530,interferon alpha-inducible protein 27-like protein 2A,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110041989,110041989,LOC110041989,uncharacterized LOC110041989,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110042600,110042600,LOC110042600,ctenidin-3-like,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110042331,110042331,LOC110042331,macrophage erythroblast attacher-like,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110063756,110063756,LOC110063756,"glyceraldehyde-3-phosphate dehydrogenase, cytosolic-like",1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110042126,110042126,LOC110042126,"uncharacterized LOC110042126, transcript variant X3",1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110042324,110042324,LOC110042324,uncharacterized LOC110042324,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110056887,110056887,LOC110056887,uncharacterized LOC110056887,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110043009,110043009,LOC110043009,cilia- and flagella-associated protein 20,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110046103,110046103,LOC110046103,"uncharacterized LOC110046103, transcript variant X1",1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110063066,110063066,LOC110063066,"glutaryl-CoA dehydrogenase, mitochondrial-like",1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110067767,110067767,LOC110067767,uncharacterized LOC110067767,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
LOC110041987,110041987,LOC110041987,probable U3 small nucleolar RNA-associated protein 13,1,SCTLD_affected_Low_vs_SCTLD_unaffected_High
