initial_alias,converted_alias,name,description,contrast,contrast_ID
LOC110058532,110058532,LOC110058532,interferon alpha-inducible protein 27-like protein 2A,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110056835,110056835,LOC110056835,"ZP domain-containing protein-like, transcript variant X2",2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110065742,110065742,LOC110065742,cullin-3-like,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110051817,110051817,LOC110051817,uncharacterized LOC110051817,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110049565,110049565,LOC110049565,uncharacterized LOC110049565,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110043060,110043060,LOC110043060,uncharacterized LOC110043060,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110067385,110067385,LOC110067385,melanocyte-stimulating hormone receptor-like,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110048196,110048196,LOC110048196,"uncharacterized LOC110048196, transcript variant X3",2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110041059,110041059,LOC110041059,uncharacterized LOC110041059,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110057625,110057625,LOC110057625,"uncharacterized LOC110057625, transcript variant X1",2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110055624,110055624,LOC110055624,ubiquitin-like modifier-activating enzyme 5,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110060341,110060341,LOC110060341,"uncharacterized LOC110060341, transcript variant X1",2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110044094,110044094,LOC110044094,peptidyl-prolyl cis-trans isomerase-like,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110055907,110055907,LOC110055907,uncharacterized skeletal organic matrix protein 5-like,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110053162,110053162,LOC110053162,"uncharacterized LOC110053162, transcript variant X2",2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110058814,110058814,LOC110058814,uncharacterized LOC110058814,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110045255,110045255,LOC110045255,"uncharacterized LOC110045255, transcript variant X2",2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110065163,110065163,LOC110065163,40S ribosomal protein SA-like,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110051957,110051957,LOC110051957,non-structural maintenance of chromosomes element 1 homolog,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110048691,110048691,LOC110048691,uncharacterized LOC110048691,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110067805,110067805,LOC110067805,basic leucine zipper and W2 domain-containing protein 2-like,2,SCTLD_affected_Low_vs_SCTLD_affected_High
LOC110041899,110041899,LOC110041899,E3 ubiquitin-protein ligase TRIM71-like,2,SCTLD_affected_Low_vs_SCTLD_affected_High
