Names	total	elements
res1 res2 res3	1	LOC110067385
res1	20	LOC110040875
		LOC110056887
		LOC110042600
		LOC110067767
		LOC110063066
		LOC110041989
		LOC110066181
		LOC110069266
		LOC110058869
		LOC110064450
		LOC110063756
		LOC110046103
		LOC110041483
		LOC110042938
		LOC110043009
		LOC110058530
		LOC110042331
		LOC110042126
		LOC110042324
		LOC110041987
res2	21	LOC110065742
		LOC110055907
		LOC110051817
		LOC110045255
		LOC110067805
		LOC110065163
		LOC110060341
		LOC110055624
		LOC110041059
		LOC110041899
		LOC110058532
		LOC110048196
		LOC110058814
		LOC110053162
		LOC110048691
		LOC110051957
		LOC110057625
		LOC110044094
		LOC110049565
		LOC110056835
		LOC110043060
res3	5	LOC110044475
		LOC110051347
		LOC110047047
		LOC110053470
		LOC110040879
