Names	total	elements
res1 res4	12	LOC110040875
		LOC110042600
		LOC110041989
		LOC110066181
		LOC110069266
		LOC110058869
		LOC110064450
		LOC110041483
		LOC110042938
		LOC110058530
		LOC110042331
		LOC110042126
res1	9	LOC110056887
		LOC110067767
		LOC110063066
		LOC110063756
		LOC110046103
		LOC110043009
		LOC110067385
		LOC110042324
		LOC110041987
res4	4	LOC110051347
		LOC110051351
		LOC110067699
		LOC110053470
res6	14	LOC110065742
		LOC110051817
		LOC110045255
		LOC110060341
		LOC110043897
		LOC110048679
		LOC110058532
		LOC110048196
		LOC110053162
		LOC110051957
		LOC110057625
		LOC110044094
		LOC110049565
		LOC110056835
